Category	Country	Customer ID	Order Date	Order ID	Payment Method	Product ID	Return Status	Review Rating	Shipping Method	Discount	Price	Profit	Quantity	Returned Quantity	Shipping Cost	
Sports	Canada	7262	11/10/2023 0:00	ORDER00001	Credit Card	685	No	1	Standard	8.00%	$932.00 	$255 	1	3	$28.40 	
Electronics	UK	1266	6/19/2023 0:00	ORDER00002	PayPal	560	No	5	Next Day	28.00%	$436.80 	$349 	10	0	$16.20 	
Electronics	UK	3793	12/9/2023 0:00	ORDER00003	Bank Transfer	630	Yes	3	Express	8.00%	$930.80 	$360 	3	2	$35.60 	
Sports	France	2526	8/26/2023 0:00	ORDER00004	Credit Card	193	No	1	Standard	18.00%	$11.70 	$5 	2	2	$27.40 	
Electronics	USA	3355	6/26/2023 0:00	ORDER00005	Cash	836	Yes	2	Standard	38.00%	$554.10 	$482 	5	2	$19.40 	
Clothing	USA	2171	7/19/2023 0:00	ORDER00006	Cash	764	No	2	Next Day	6.00%	$839.80 	"$1,558 "	10	1	$9.20 	
Electronics	UK	8861	12/3/2023 0:00	ORDER00007	Cash	708	No	2	Next Day	15.00%	$603.10 	$347 	6	0	$42.80 	
Home	UK	5045	7/3/2023 0:00	ORDER00008	Cash	360	Yes	4	Standard	29.00%	$856.00 	$600 	5	1	$7.90 	
Electronics	UK	5169	6/19/2023 0:00	ORDER00009	Credit Card	10	No	4	Express	7.00%	$193.60 	$425 	9	5	$29.10 	
Clothing	Germany	5765	7/1/2023 0:00	ORDER00010	PayPal	724	No	3	Express	34.00%	$269.30 	$192 	6	1	$27.80 	
Home	France	5161	3/26/2023 0:00	ORDER00011	Bank Transfer	278	Yes	2	Next Day	28.00%	$102.00 	$73 	6	1	$42.20 	
Clothing	USA	5469	4/10/2023 0:00	ORDER00012	PayPal	755	No	1	Next Day	18.00%	$105.60 	$113 	5	0	$31.70 	
Sports	UK	5179	2/11/2023 0:00	ORDER00013	Bank Transfer	805	No	2	Next Day	29.00%	$707.90 	$433 	4	5	$47.10 	
Home	Canada	3144	5/20/2023 0:00	ORDER00014	PayPal	600	Yes	5	Next Day	34.00%	$97.10 	$43 	3	4	$39.20 	
Sports	Germany	9762	5/22/2023 0:00	ORDER00015	Credit Card	71	Yes	5	Standard	17.00%	$741.00 	$158 	2	2	$34.70 	
Sports	Canada	8326	9/25/2023 0:00	ORDER00016	Bank Transfer	473	No	4	Express	33.00%	$751.60 	$401 	4	2	$14.60 	
